"","id","X","MAXAvg","MINAvg","RainAvg","Date","Time","RunDate","Metabolites.Conc","RankProp","Sex","Group.1","Coping","SWDIgr","Strg","Deg"
"84","ct",84,25.5,17.8,0,"2018-12-10","07:30:00","22-Nov",68.58462675,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"85","ct",85,31.5,9.35,0,"2019-02-02","08:24:00","8-Oct",73.65678686,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"86","ct",86,29.74,12.895,0,"2018-08-22","07:53:00","18-Nov",86.75990675,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"87","ct",87,27.6,12.4,0,"2018-12-21","08:14:00","4-Dec",64.87551969,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"88","ct",88,27.7,11.55,0,"2018-11-24","10:20:00","22-Nov",67.55514134,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"89","ct",89,31.35,12.1,0,"2019-02-26","11:07:00","8-Nov",179.5552978,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"90","ct",90,30.05,15.4,0,"2018-09-05","10:00:00","16-Nov",144.9562682,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"91","ct",91,30.15,8.6,0,"2019-01-21","10:31:00","6-Dec",207.9630009,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"92","ct",92,32.05,13.95,0,"2019-02-18","10:18:00","13-Sep",165.952381,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"93","ct",93,29.4,21.3,0,"2018-10-15","07:37:00","19-Nov",312.1112515,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"94","ct",94,27.6,12.85,0,"2018-11-27","08:23:00","22-Nov",171.952221,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"95","ct",95,32.2,14.65,0,"2018-09-17","08:42:00","16-Nov",139.7092419,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"96","ct",96,32.75,9.25,0,"2019-03-04","10:48:00","11-Nov",162.3631961,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"97","ct",97,28.605,11.83,0,"2019-01-17","09:08:00","5-Dec",57.90139647,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
"98","ct",98,26.75,17.4,4.55,"2018-10-30","08:55:00","19-Nov",235.0592417,0.888523317,"M","K",1.179075449,0.149657454099323,3.81336525065197,2
